,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,38:30.7,2020,2960623488,3/30/2020 0:00,00:00.0,3/31/2020 0:00,CA10,2309.79,0-15
1,U001,200744019,TARG us,21:11.1,2020,1930659387,3/31/2020 0:00,00:00.0,4/1/2020 0:00,NAA8,11173.02,0-15
2,U001,200418007,AM ,17:33.6,2020,1930610806,4/1/2020 0:00,00:00.0,4/2/2020 0:00,NAA8,3525.59,16-30
3,U001,200739534,OK systems,24:06.8,2020,1930788296,4/2/2020 0:00,00:00.0,4/3/2020 0:00,NAA8,121105.65,0-15
4,U001,200353024,DECA corporation,52:16.9,2020,1930817482,4/3/2020 0:00,00:00.0,4/4/2020 0:00,NAM2,3726.06,
5,U001,200744019,TARG associates,49:16.3,2020,1930676042,4/4/2020 0:00,00:00.0,4/5/2020 0:00,NAA8,5893.01,0-15
6,CA02,140106408,WAL-M corp,44:40.3,2020,2960618790,4/5/2020 0:00,00:00.0,4/6/2020 0:00,CA10,64982.589,0-15
7,U001,200337148,COAS llc,08:12.7,2020,1930592246,4/6/2020 0:00,00:00.0,4/7/2020 0:00,NAA8,11380.83,0-15
8,U001,200794332,COST associates,52:56.7,2020,1930731070,4/7/2020 0:00,00:00.0,4/8/2020 0:00,NAAX,3863.93,0-15
9,U001,200794332,COST llc,23:23.7,2020,1930803605,4/8/2020 0:00,00:00.0,4/9/2020 0:00,NAAX,74453.01,
10,U001,200803720,DEC corp,55:48.4,2020,1930698352,4/9/2020 0:00,00:00.0,4/10/2020 0:00,NAM4,138.6,
11,U001,200794332,COST co,58:18.6,2020,1930647189,4/10/2020 0:00,00:00.0,4/11/2020 0:00,NAAX,32715.47,0-15
12,U001,200020431,DEC us,15:28.6,2020,1930861637,4/11/2020 0:00,00:00.0,4/12/2020 0:00,NAM4,174.72,
13,U001,200769623,WAL-MAR associates,14:55.3,2020,1930635649,4/12/2020 0:00,00:00.0,4/13/2020 0:00,NAH4,767.78,0-15
14,CA02,140105785,SHOPPE foundation,52:19.1,2020,2960624627,4/13/2020 0:00,00:00.0,4/14/2020 0:00,CA10,1980.72,0-15
15,U001,200769623,WAL-MAR ,16:55.8,2020,1930577078,4/14/2020 0:00,00:00.0,4/15/2020 0:00,NAH4,14514.68,0-15
16,U001,200769623,WAL-MAR foundation,01:23.4,2020,1930774741,4/15/2020 0:00,00:00.0,4/16/2020 0:00,NAH4,55400.31,0-15
17,U001,200772670,ASSOCIAT corporation,30:34.3,2020,1930765053,4/16/2020 0:00,00:00.0,4/17/2020 0:00,NAU5,174766.36,0-15
18,U001,200900909,SYSCO systems,59:21.5,2020,1930645969,4/17/2020 0:00,00:00.0,4/18/2020 0:00,NA32,31512.75,0-15
19,U001,200769623,WAL-MAR systems,49:44.1,2020,1930718081,4/18/2020 0:00,00:00.0,4/19/2020 0:00,NAH4,19701.55,0-15
20,U001,200726979,BJ'S  trust,00:00.9,2020,1930788667,4/19/2020 0:00,00:00.0,4/20/2020 0:00,NAA8,132.72,0-15
21,U001,200769623,WAL-MAR llc,48:44.2,2020,1930709919,4/20/2020 0:00,00:00.0,4/21/2020 0:00,NAH4,1121.15,0-15
22,U001,200769623,WAL-MAR llc,34:02.6,2020,1930752568,4/21/2020 0:00,00:00.0,4/22/2020 0:00,NAH4,11394.84,0-15
23,CA02,140105847,GORDON F co,24:04.8,2020,2960627274,4/22/2020 0:00,00:00.0,4/23/2020 0:00,CA10,2579.64,0-15
24,U001,200744019,TARG foundation,00:16.4,2020,1930648342,4/23/2020 0:00,00:00.0,4/24/2020 0:00,NAA8,52123.3,0-15
25,U001,200769623,WAL-MAR systems,52:20.1,2020,1930632791,4/24/2020 0:00,00:00.0,4/25/2020 0:00,NAH4,14994.01,0-15
26,U001,200769623,WAL-MAR llc,22:31.2,2020,1930617194,4/25/2020 0:00,00:00.0,4/26/2020 0:00,NAH4,36.06,
27,U001,200418007,AM in,52:06.1,2020,1930752243,4/26/2020 0:00,00:00.0,4/27/2020 0:00,NAA8,25836.19,16-30
28,U001,200739006,AL foundation,14:34.7,2020,1930768064,4/27/2020 0:00,00:00.0,4/28/2020 0:00,NAA8,4309.05,16-30
29,U001,100031704,DELHAIZE associates,18:12.0,2020,1930789873,4/28/2020 0:00,00:00.0,4/29/2020 0:00,NAA8,70181.07,0-15
30,U001,200769623,WAL-MAR trust,20:20.9,2020,1930705172,4/29/2020 0:00,00:00.0,4/30/2020 0:00,NAH4,3403.8,0-15
31,U001,200744019,TARG systems,18:45.4,2020,1930620634,4/30/2020 0:00,00:00.0,5/1/2020 0:00,NAGD,10665.53,0-15
32,U001,200769623,WAL-MAR ,28:01.7,2020,1930676002,5/1/2020 0:00,00:00.0,5/2/2020 0:00,NAH4,7280.51,0-15
33,U001,200726979,BJ'S  corporation,00:43.2,2020,1930585378,5/2/2020 0:00,00:00.0,5/3/2020 0:00,NAA8,13681.7,0-15
34,U001,200706844,WINC associates,17:30.2,2020,1930773419,5/3/2020 0:00,00:00.0,5/4/2020 0:00,NAA8,33947.85,0-15
35,U001,200793830,M llc,46:34.4,2020,1930767747,5/4/2020 0:00,00:00.0,5/5/2020 0:00,NAA8,4537.14,0-15
36,U001,200769623,WAL-MAR foundation,52:45.1,2020,1930750455,5/5/2020 0:00,00:00.0,5/6/2020 0:00,NAH4,14355.96,0-15
37,U001,200769623,WAL-MAR systems,31:38.5,2020,1930738904,5/6/2020 0:00,00:00.0,5/7/2020 0:00,NAH4,367.71,0-15
